City,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Houston,104,3089176,23.09615385,10.4,27.69615385,20.64038462,100.8048077,14.53269231,6.068269231,55.30673077,35.02019231,35.03365385,21.67307692,5.710576923,2.5625,1522.836,25.283
Los Angeles,60,2422217,27.98833333,6.855,30.23166667,25.69166667,76.82333333,11.72666667,8.413333333,59.09,24.77,45.79333333,15.80833333,10.56333333,3.065,214.266,1.372
San Antonio,60,1688925,17.89,8.705,30.39833333,18.29,103.5166667,16.68833333,10.93,50.38833333,38.43833333,49.44166667,7.698333333,1.535,2.886666667,2157.37,12.435
Miami,58,1845473,18.56034483,8.763793103,29.6,18.46034483,106.6931034,19.10862069,12.33103448,47.37758621,25.53103448,51.21551724,19.1137931,1.448275862,2.69137931,1211.689,41.521
Chicago,56,2702091,14.44821429,12.0375,28.6,20.72678571,100.275,10.90892857,5.473214286,55.2625,40.90892857,18.14285714,32.19107143,6.505357143,2.251785714,221.51,12.299
Dallas,55,1472338,21.78727273,9.6,29.01272727,21.48909091,100.3854545,13.61272727,5.794545455,54.13454545,44.24727273,29.26909091,20.84181818,2.863636364,2.778181818,807.833,8.622
Columbus,51,1183708,13.5372549,12.78039216,29.76862745,22.29411765,90.14117647,6.129411765,2.049019608,57.81568627,65.15686275,4.231372549,22.54313725,2.233333333,5.835294118,2449.954,40.438
Springfield,51,911479,13.90980392,7.894117647,31.48039216,18.55098039,94.02352941,5.194117647,1.156862745,54.19803922,52.86666667,7.570588235,6.284313725,3.668627451,29.60980392,2768.068,45.171
Austin,50,1074566,12.128,6.458,22.956,15.152,128.014,23.618,17.914,28.668,62.956,21.556,7.252,3.804,4.432,4099.364,37.28
Philadelphia,50,1589417,16.476,11.756,34.448,23.606,83.03,6.2,3.496,66.922,51.74,6.688,35.332,3.604,2.636,701.048,8.46
Kansas City,49,705959,15.02040816,13.03469388,28.58571429,20.92857143,98.18979592,9.06122449,20.38979592,51.18571429,16.49387755,9.671428571,2.610204082,2.371428571,68.85306122,459.951,7.862
Minneapolis,49,1061068,8.787755102,5.114285714,21.06938776,13.93877551,107.2734694,11.81428571,3.934693878,28.98163265,77.15306122,3.828571429,9.2,5.028571429,4.789795918,552.702,14.613
Cleveland,47,957917,16.61276596,13.97659574,34.9893617,23.20851064,79.16170213,4.678723404,-1.359574468,68.0212766,67.21276596,5.821276596,23.52978723,1.382978723,2.053191489,1779.588,39.118
Cincinnati,46,796188,12.19130435,12.45434783,28.77608696,22.17608696,97.92173913,3.495652174,-1.865217391,56.25434783,71.3173913,1.160869565,24.13043478,1.482608696,1.908695652,389.022,3.68
Phoenix,45,1389890,18.73333333,10.89333333,30.75555556,22.93333333,99.88666667,17.89555556,5.091111111,56.72,58.19333333,31.74666667,4.348888889,2.108888889,3.602222222,508.497,3.789
Portland,45,1023860,8.991111111,5.675555556,27.13333333,18.24666667,108.7444444,11.32,6.335555556,35.36222222,79.13555556,6.411111111,4.313333333,4.464444444,5.675555556,1032.795,37.773
Saint Louis,45,936149,11.72222222,14.40222222,30.44444444,19.62888889,105.2822222,4.748888889,36.88888889,49.97333333,4.213333333,1.533333333,0.58,2.706666667,90.96666667,365.764,10.96
Atlanta,44,965444,11.20227273,14.63863636,28.38636364,19.59090909,109.2227273,8.715909091,4.120454545,51.29090909,46.20227273,7.354545455,36.04772727,3.295454545,7.1,1082.59,16.593
Washington,44,879071,9.518181818,8.481818182,25.04772727,14.50454545,112.8068182,9.611363636,8.020454545,38.02045455,54.29545455,5.240909091,28.00909091,2.270454545,10.18409091,1854.922,34.312
Brooklyn,43,2655161,19.50930233,7.951162791,29.71395349,21.89767442,88.72093023,10.78837209,10.75581395,55.3,42.72325581,18.11860465,29.49767442,6.039534884,3.620930233,515.018,8.734
Las Vegas,43,1492330,14.96511628,12.0372093,30.20465116,16.08139535,105.4116279,39.34186047,23.93953488,47.05581395,59.95116279,20.14883721,7.511627907,7.625581395,4.762790698,3684.822,3.539
New York,43,1607498,11.12790698,8.3,22.65348837,15.69302326,147.7674419,9.502325581,4.934883721,36.39302326,50.62790698,20.40930233,14.88837209,11.39069767,2.68372093,20.952,0.039
Oklahoma City,43,666604,14.4,11.72790698,31.19767442,18.45813953,110.144186,14.48139535,6.590697674,50.26744186,54.19534884,13.92325581,20.2,3.930232558,7.751162791,393.617,10.006
Denver,42,1069189,12.45952381,5.133333333,22.92380952,14.82857143,98.04285714,14.40714286,10.32380952,31.97857143,64.53809524,21.9547619,7.716666667,2.571428571,3.219047619,382.65,12.053
Dayton,41,585619,12,9.887804878,31.00243902,17.20731707,101.8878049,13.33414634,5.251219512,49.70243902,80.54634146,2.717073171,12.65365854,1.719512195,2.363414634,2356.948,20.583
Jacksonville,41,1053178,12.57317073,13.51219512,35.17804878,18.39756098,97.59756098,9.56097561,10.09756098,55.90243902,63.44146341,4.912195122,22.9902439,2.109756098,6.546341463,2161.003,98.476
Rochester,41,774301,11.55609756,7.848780488,27.7804878,16.32439024,93.76341463,5.282926829,2.231707317,45.99268293,75.74390244,4.9,12.06097561,2.287804878,5.007317073,1025.664,14.207
Buffalo,39,615127,13.44871795,11.46410256,30.7,20.56153846,76.17692308,2.094871795,0.956410256,63.21794872,70.11538462,5.225641026,16.6,1.184615385,6.874358974,4765.373,35.587
Louisville,39,842047,12.24871795,9.51025641,29.33333333,17.95128205,108.8179487,6.079487179,1.230769231,46.64871795,71.15641026,1.605128205,20.53076923,1.169230769,5.538461538,1355.963,26.038
Pittsburgh,39,688658,6.961538462,10.63846154,26.00512821,15.80512821,98.33846154,2.851282051,2.792307692,45.36153846,79.41538462,1.028205128,15.90769231,1.825641026,1.823076923,206.712,5.625
